"","adjsav_eduexp","ado_fert_rate","agedep_work","agedep_young","agrland","brate","fert_rate","c_gdp","grow_gdp","percap_gdp","percap_healthexp","healthexp_gdp","de_gdp","lifeexp_f","lifeexp_m","mortrate_un5f","mortrate_un5m","grow_pop","immu_dpt","immu_mea","hiv_fe15up","CO2emission","cluster","cluster_k3"
"SYC",4.63,57.72,42.66,31.83,6.52,16.8,2.1,1138398917,5.95,20640.01,368.14,3.04,-4.2,77.4,69.7,12.4,14.7,2.79,99,99,34.909,4.9,2,"3"
"SVK",3.89,17.79,37.81,20.85,40.44,11.1,1.4,76899962691,4.18,20120.69,1445.14,5.81,0.49,78.8,71.6,7.3,8.9,0.21,99,98,9.1,6.58,2,"3"
"SVN",5.39,2.28,44.24,20.21,24,10.9,1.57,39034227961,1.38,25052.86,2064.49,6.53,-1.07,82.7,76.3,3.1,3.7,0.44,96,95,8.9,7.72,2,"3"
"SLB",3.83,67.05,78.72,72.84,3.25,32.7,4.24,555854393.5,7,2484.11,93.44,6.95,5.61,68.45,65.75,29.2,36.2,2.21,79,68,43.59,0.64,1,"1"
"ZAF",5.43,54.18,53.7,45.67,79.87,21.54,2.47,2.9e+11,3.09,9516.45,630.93,4.05,7.2,56.14,52.72,48.2,57.4,1.35,66,74,58.9,8.3,1,"1"
"SSD",3.0364,83.31,86.02,79.68,45.6193,37.35,5.19,126564589211.077,4.24,1330.9512,31.9,0.68,22.58,54.49,52.48,106,117.4,4.32,78.82,73.43,57.6,0,1,"1"
"ESP",4.57,11.47,47.13,21.96,55.22,10.5,1.38,1.18e+12,-0.2,26908.04,2895.93,7.12,0.08,84.7,78.7,4.3,5,0.35,97,95,23,5.87,2,"3"
"LKA",1.74,19.07,49.01,37.43,41.78,18.48,2.34,33253082140,8.02,4600.87,82.04,1.57,7.3,76.92,70.75,9.4,11.2,0.99,99,99,34.9,0.65,2,"2"
"LCA",4.47,58.35,50.89,38.11,18.03,16.34,1.98,1067166275,0.4,10031.99,527.95,4.25,2.56,77.14,71.81,16.2,20.2,1.25,97,95,31.905,2.3,2,"2"
"VCT",4.54,56.28,49.8,39.71,25.64,17.1,2.07,591892928.9,-2.79,9452.86,292.91,3.9,3.24,74.33,70.14,21.7,26,0.06,99,99,31.964,2.31,2,"2"
"SDN",0.87,93.03,82.47,76.73,57.34,34.85,4.64,35822262376,3.48,1777.48,110.78,1.99,18.83,63.27,59.77,71.7,83.6,2.27,90,90,50.6,0.46,1,"1"
"SUR",4.9645,36.94,54.04,44.11,0.5,18.45,2.35,2188868338,4.22,7113.61,472.05,2.94,8.16,73.68,67.15,19.4,24.8,0.92,96,90,51.7,3.29,2,"2"
"SWZ",6.93,78.39,72.95,67.18,71.05,30.82,3.56,2917342648,1.87,4721.84,242.68,5.54,-0.97,47.92,48.76,86.6,96.9,1.65,89,94,58.4,0.95,1,"1"
"SWE",6.22,6.32,53.16,25.28,7.52,12.3,1.98,4.02e+11,6.56,34125.35,4708.39,7.74,0.85,83.5,79.5,2.8,3.3,0.85,98,97,30,5.13,2,"3"
